Date,Price,Open,High,Low,Vol.,Change %
19,30732.30 ,31782.90 ,31887.00 ,30478.20 ,75.27K,-3.31%
18,31785.40 ,31517.90 ,32408.20 ,31220.60 ,57.01K,0.85%
17,31518.60 ,31384.40 ,31914.80 ,31207.80 ,58.06K,0.40%
16,31394.00 ,31842.30 ,32239.80 ,31062.20 ,70.48K,-1.40%
15,31840.50 ,32820.50 ,33157.00 ,31175.80 ,76.95K,-2.99%
14,32820.70 ,32727.80 ,33051.90 ,31611.20 ,69.56K,0.28%
13,32728.10 ,33106.10 ,33307.70 ,32259.50 ,60.04K,-1.16%
12,33113.00 ,34228.30 ,34598.00 ,32662.80 ,63.24K,-3.26%
11,34227.70 ,33510.80 ,34580.60 ,33319.80 ,35.72K,2.14%
10,33510.60 ,33797.70 ,34221.00 ,33056.80 ,50.94K,-0.85%
9,33797.40 ,32866.30 ,34079.20 ,32367.00 ,67.14K,2.83%
8,32866.30 ,33859.40 ,33923.20 ,32146.90 ,108.09K,-2.96%
7,33867.80 ,34228.70 ,35036.60 ,33801.30 ,72.03K,-1.05%
6,34225.60 ,33688.50 ,35062.00 ,33581.70 ,83.63K,1.60%
5,33687.80 ,35297.00 ,35300.50 ,33164.10 ,88.36K,-4.56%
4,35298.20 ,34742.80 ,35957.60 ,34740.10 ,56.13K,1.60%
3,34742.80 ,33814.20 ,34909.80 ,33363.30 ,55.69K,2.75%
2,33813.40 ,33542.20 ,33925.90 ,32734.60 ,78.93K,0.80%
1,33543.60 ,35030.70 ,35032.70 ,32839.20 ,27.41K,-4.23%
30,35026.90 ,35832.60 ,36089.50 ,34126.60 ,107.07K,-2.25%
29,35834.70 ,34477.30 ,36590.30 ,34247.60 ,97.27K,3.94%
28,34475.90 ,34682.20 ,35231.20 ,33944.90 ,112.00K,-0.58%
27,34678.50 ,32247.10 ,34685.50 ,32041.70 ,148.80K,7.55%
26,32243.40 ,31592.10 ,32643.00 ,30206.90 ,156.67K,2.06%
25,31594.00 ,34660.50 ,35490.90 ,31337.90 ,193.43K,-8.86%
24,34665.80 ,33678.10 ,35249.90 ,32356.70 ,119.25K,2.94%
23,33674.30 ,32498.30 ,34784.30 ,31736.50 ,173.34K,3.62%
22,32496.40 ,31682.70 ,33272.50 ,28901.80 ,309.65K,2.54%
21,31692.00 ,35597.90 ,35708.40 ,31284.10 ,256.87K,-10.97%
20,35595.80 ,35510.90 ,36097.90 ,33378.00 ,137.48K,0.23%
19,35513.40 ,35770.00 ,36357.30 ,34845.50 ,105.46K,-0.66%
